ticker,fpedats,mean_forecast,std_forecast,num_analysts,actual_eps,anndats_act,SUE
ADM,2007-03-31,0.625357142857143,0.05196025139342308,28,0.51,2007-05-01,-2.2201036323651118
ADM,2007-06-30,0.6354285714285713,0.0618510001413671,35,0.59,2007-07-30,-0.7344840232937139
ADM,2007-09-30,0.6115,0.04671019273416843,20,0.71,2007-11-06,2.1087474539137863
ADM,2007-12-31,0.7034375,0.06403675230023215,32,0.75,2008-02-04,0.7271215095621136
ADM,2008-03-31,0.6536585365853659,0.07495852511759335,41,0.8,2008-04-29,1.9522991305532862
ADM,2008-06-30,0.6819047619047619,0.07561900958699166,42,0.58,2008-08-05,-1.3476077306663385
ADM,2008-09-30,0.7082608695652174,0.10192029746607457,23,1.61,2008-11-04,8.847493118188138
ADM,2008-12-31,0.6952941176470588,0.10927405897260964,34,0.91,2009-02-03,1.9648385387309428
ADM,2009-03-31,0.59775,0.1241481228623953,40,0.34,2009-05-05,-2.0761489908767112
ADM,2009-06-30,0.5220754716981132,0.11434358632186717,53,0.2,2009-08-04,-2.8167340386849418
ADM,2009-09-30,0.5625,0.07758696309371353,20,0.77,2009-11-03,2.6744183781155453
ADM,2009-12-31,0.6819354838709678,0.0897187960551823,31,0.88,2010-02-02,2.2076145115368124
ADM,2010-03-31,0.6677272727272727,0.07645833753381978,44,0.72,2010-05-04,0.6836759594675398
ADM,2010-06-30,0.5809433962264151,0.12704124331739064,53,0.69,2010-08-03,0.8584346384356907
ADM,2010-09-30,0.7103125,0.11546496117032438,32,0.54,2010-11-02,-1.4750145695607955
ADM,2010-12-31,0.7786666666666666,0.08492242449328789,45,1.06,2011-02-01,3.312827383485377
ADM,2011-03-31,0.8001587301587301,0.09629410700309116,63,0.86,2011-05-03,0.6214426999084061
ADM,2011-06-30,0.8208450704225352,0.09392620931763769,71,1.01,2011-08-02,2.0138673853831857
ADM,2011-09-30,0.7371052631578947,0.09469461284191534,38,0.69,2011-11-01,-0.49744395952632514
ADM,2011-12-31,0.8078,0.10278350538676832,50,0.45,2012-01-31,-3.4811033020679676
ADM,2012-03-31,0.741044776119403,0.12112020485999807,67,0.68,2012-05-01,-0.5040015923847235
ADM,2012-06-30,0.7379729729729729,0.09708038936499759,74,0.38,2012-07-31,-3.687387074922882
ADM,2012-09-30,0.6268181818181818,0.138123179390678,44,0.45,2012-10-30,-1.2801485065591776
ADM,2012-12-31,0.6615909090909091,0.12005702485801888,44,0.6,2013-02-05,-0.513013787937419
ADM,2013-03-31,0.6326530612244898,0.13226828024580822,49,0.48,2013-05-01,-1.1541169276624632
ADM,2013-06-30,0.5432549019607843,0.12788163951674295,51,0.46,2013-08-06,-0.6510309241842658
ADM,2013-09-30,0.5797115384615384,0.10789161891862056,52,0.46,2013-10-29,-1.109553639674582
ADM,2013-12-31,0.8335076923076923,0.08010639859682776,65,0.95,2014-02-04,1.4542197593803798
ADM,2014-03-31,0.7955652173913044,0.08832451499356846,69,0.64,2014-04-29,-1.761291498771685
ADM,2014-06-30,0.7879506172839505,0.07151938569971221,81,0.77,2014-08-05,-0.2509895339330741
ADM,2014-09-30,0.7699782608695651,0.061377767077726825,92,0.81,2014-11-04,0.6520559648211494
ADM,2014-12-31,0.9113406593406593,0.08227139637676427,91,1.0,2015-02-03,1.0776447776979816
ADM,2015-03-31,0.8201343283582089,0.10153084253332537,67,0.77,2015-05-05,-0.49378422464832117
ADM,2015-06-30,0.7868529411764706,0.08902611803685985,68,0.6,2015-08-04,-2.0988553168083457
ADM,2015-09-30,0.8018214285714285,0.07652421629694953,84,0.6,2015-11-03,-2.6373537467965376
ADM,2015-12-31,0.9122000000000001,0.14871431544759786,85,0.61,2016-02-02,-2.0320841278154265
ADM,2016-03-31,0.6666785714285715,0.17016656087950546,56,0.42,2016-05-03,-1.449630116243837
ADM,2016-06-30,0.6076567164179104,0.1277413997862782,67,0.41,2016-08-02,-1.5473191678547933
ADM,2016-09-30,0.6420128205128205,0.09777664629538368,78,0.59,2016-11-01,-0.5319554564766883
ADM,2016-12-31,0.8161375,0.08240018799136718,80,0.75,2017-02-07,-0.8026377319300411
ADM,2017-03-31,0.660603448275862,0.06225892161958896,58,0.6,2017-05-02,-0.9734098615802875
ADM,2017-06-30,0.6336521739130435,0.07262632525609854,69,0.57,2017-08-01,-0.8764339058680185
ADM,2017-09-30,0.6864938271604939,0.08053308690482273,81,0.45,2017-10-31,-2.9366045218158825
ADM,2017-12-31,0.7704556962025316,0.07336312870260324,79,0.82,2018-02-06,0.6753297558819936
ADM,2018-03-31,0.594344262295082,0.0759784805599369,61,0.68,2018-05-01,1.1273683952832816
ADM,2018-06-30,0.7120694444444444,0.07962523600051503,72,1.02,2018-07-31,3.8672482622665485
ADM,2018-09-30,0.7254057971014493,0.10061711333223176,69,0.92,2018-11-06,1.9340070138567007
ADM,2018-12-31,0.9765846153846154,0.0795029268933879,65,0.88,2019-02-05,-1.2148560959791295
ADM,2019-03-31,0.7524565217391305,0.14173240929798178,46,0.46,2019-04-26,-2.0634414047408347
ADM,2019-06-30,0.823686274509804,0.1457709834220896,51,0.6,2019-08-01,-1.5345048051305623
ADM,2019-09-30,0.835421875,0.10829307745650228,64,0.77,2019-10-31,-0.6041187168799201
ADM,2019-12-31,0.935608695652174,0.1639847748843225,69,0.81,2020-01-29,-0.7659777911747009
ADM,2020-03-31,0.6594565217391305,0.11750758018513609,46,0.64,2020-04-29,-0.16557673733452985
ADM,2020-06-30,0.7155517241379311,0.1754469152897665,58,0.85,2020-07-29,0.7663188357573306
ADM,2020-09-30,0.7810655737704919,0.1093946782454032,61,0.89,2020-10-29,0.9957927385200346
ADM,2020-12-31,0.991546875,0.13506082459131408,64,1.21,2021-01-26,1.6174425534645291
ADM,2021-03-31,0.8469782608695652,0.19022355142544317,46,1.39,2021-04-27,2.854650410326654
ADM,2021-06-30,0.9081730769230769,0.09515492448156322,52,1.33,2021-07-27,4.433054047125584
ADM,2021-09-30,0.8908103448275863,0.09387831932067968,58,0.97,2021-10-26,0.8435350754619836
ADM,2021-12-31,1.1925428571428571,0.1459859717018981,70,1.5,2022-01-25,2.1060732019167383
ADM,2022-03-31,1.2470909090909092,0.18464573414527377,55,1.9,2022-04-26,3.5360096128481433
ADM,2022-06-30,1.395390625,0.27032335823223314,64,2.15,2022-07-26,2.791506364580302
ADM,2022-09-30,1.2829264705882353,0.18367519321422443,68,1.86,2022-10-25,3.141815284433708
ADM,2022-12-31,1.5011866666666667,0.16825541181074558,75,1.93,2023-01-26,2.5485856812478898
ADM,2023-03-31,1.7409836065573772,0.2466095085895432,61,2.09,2023-04-25,1.4152592713832681
ADM,2023-06-30,1.66031884057971,0.1416424135500487,69,1.89,2023-07-25,1.621556380350248
ADM,2023-09-30,1.5648630136986301,0.12133749020677971,73,1.63,2023-10-24,0.5368249021004577
ADP,2001-03-31,0.47454545454545455,0.010357254813546265,11,0.49,2001-04-16,1.4921468799176811
ADP,2001-06-30,0.41159999999999997,0.008981462390204982,25,0.4,2001-08-13,-1.2915491371038519
ADP,2001-09-30,0.31666666666666665,0.011636866703140788,33,0.31,2001-10-17,-0.572891899231545
ADP,2001-12-31,0.4109999999999999,0.009281909617845127,40,0.42,2002-01-17,0.9696280582927599
ADP,2002-03-31,0.5530232558139535,0.015512649787608848,43,0.56,2002-04-15,0.4497454839481654
ADP,2002-06-30,0.47382978723404257,0.011525622022139408,47,0.46,2002-07-17,-1.1999167773745398
ADP,2002-09-30,0.3397560975609756,0.01753393921485539,41,0.34,2002-10-17,0.013910304811471172
ADP,2002-12-31,0.4397727272727273,0.014545619713649972,44,0.43,2003-01-15,-0.6718673707354216
ADP,2003-03-31,0.5604054054054054,0.03299809829261825,74,0.54,2003-04-17,-0.6183812541091224
ADP,2003-06-30,0.4434782608695652,0.04543888015685709,92,0.36,2003-07-29,-1.8371548898519166
ADP,2003-09-30,0.3118518518518518,0.03624206219267387,54,0.32,2003-10-17,0.22482573162724953
ADP,2003-12-31,0.3958730158730159,0.036039177635300915,63,0.38,2004-01-22,-0.4404377933826108
ADP,2004-03-31,0.5089705882352941,0.02480609613822707,68,0.5,2004-04-22,-0.36162837494893324
ADP,2004-06-30,0.36411764705882355,0.026611370822781824,68,0.36,2004-07-27,-0.15473261735537758
ADP,2004-09-30,0.3385714285714286,0.011384934112179826,42,0.35,2004-10-25,1.0038329002137034
ADP,2004-12-31,0.415,0.011102063499795351,44,0.42,2005-01-21,0.45036672687849166
ADP,2005-03-31,0.5728,0.012783918469255449,50,0.57,2005-04-21,-0.21902517657116286
ADP,2005-06-30,0.4278,0.021786533942426217,50,0.44,2005-07-26,0.5599789315840736
ADP,2005-09-30,0.3743333333333333,0.023683519394488053,45,0.35,2005-10-26,-1.0274373891828128
ADP,2005-12-31,0.45621875,0.021177607783424698,64,0.44,2006-01-25,-0.7658442901513223
ADP,2006-03-31,0.6325000000000001,0.021157037910930657,80,0.61,2006-04-28,-1.0634759031355512
ADP,2006-06-30,0.4720108695652174,0.02372808164551459,92,0.44,2006-08-02,-1.3490711151218795
ADP,2006-09-30,0.4377391304347826,0.020245641267644863,46,0.43,2006-10-31,-0.3822615610181095
ADP,2006-12-31,0.5220408163265307,0.020914467862855043,49,0.51,2007-02-06,-0.5757170780288239
ADP,2007-03-31,0.7067241379310345,0.046656186706756475,58,0.65,2007-05-01,-1.2157902720931117
ADP,2007-06-30,0.49153846153846154,0.09465778443343237,65,0.35,2007-07-31,-1.495264889048801
ADP,2007-09-30,0.45741935483870966,0.03696554629520881,31,0.45,2007-10-30,-0.20071000113073634
ADP,2007-12-31,0.5346341463414634,0.030910965770710695,41,0.55,2008-02-01,0.49710040677850076
ADP,2008-03-31,0.7543181818181818,0.021284094648103533,44,0.77,2008-05-01,0.7367857755328828
ADP,2008-06-30,0.4297916666666666,0.026214303658729073,48,0.42,2008-07-31,-0.37352381334020773
ADP,2008-09-30,0.504,0.010801234497346468,25,0.54,2008-11-03,3.332952359181178
ADP,2008-12-31,0.5779545454545455,0.017729169953228034,44,0.59,2009-02-03,0.6794144665109546
ADP,2009-03-31,0.8120689655172414,0.032050323406948945,58,0.8,2009-05-05,-0.37656298702510543
ADP,2009-06-30,0.45746551724137935,0.02418366529853628,58,0.45,2009-07-30,-0.3087008172343168
ADP,2009-09-30,0.5323404255319149,0.03862938541067266,47,0.56,2009-11-04,0.716024191791654
ADP,2009-12-31,0.5928846153846153,0.03114397549532,52,0.6,2010-02-02,0.22846744843007796
ADP,2010-03-31,0.7978947368421053,0.025194730323824143,57,0.79,2010-04-27,-0.3133487336691206
ADP,2010-06-30,0.44491228070175437,0.02268753646337444,57,0.42,2010-07-29,-1.0980601945024508
ADP,2010-09-30,0.5515000000000001,0.022003466598990284,60,0.56,2010-10-27,0.38630276560103527
ADP,2010-12-31,0.6105,0.02410605100208773,60,0.62,2011-01-26,0.3940919231929442
ADP,2011-03-31,0.8422727272727272,0.018463723646899927,66,0.85,2011-05-02,0.4185110693297351
ADP,2011-06-30,0.4717910447761194,0.02449028088819754,67,0.48,2011-07-28,0.3351923671825542
ADP,2011-09-30,0.5990697674418605,0.01444430246686053,43,0.61,2011-10-26,0.7567158457957164
ADP,2011-12-31,0.6728571428571428,0.015138251770487436,49,0.68,2012-01-25,0.47184161362558946
ADP,2012-03-31,0.926923076923077,0.02738173872099098,65,0.92,2012-05-01,-0.25283554830539867
ADP,2012-06-30,0.5289090909090909,0.027733702406246605,55,0.53,2012-08-01,0.03933514086685488
ADP,2012-09-30,0.6436206896551724,0.026002582588474096,58,0.62,2012-11-01,-0.9083978322077322
ADP,2012-12-31,0.7295384615384616,0.025151464248551296,65,0.72,2013-02-05,-0.3792408045989217
